dname1,dname2,date,value,unit
苗栗縣,鴨,109,9804,隻
苗栗縣,鵝,104,22215,隻
苗栗縣,鵝,105,23702,隻
苗栗縣,鵝,106,32201,隻
苗栗縣,鵝,107,39625,隻
苗栗縣,鵝,108,98534,隻
苗栗縣,鵝,109,79887,隻
苗栗縣,火雞,104,14,隻
苗栗縣,火雞,105,0,隻
苗栗縣,火雞,106,0,隻
苗栗縣,火雞,108,0,隻
苗栗縣,火雞,109,0,隻
臺中縣,雞,85,17856000,隻
臺中縣,雞,86,17047000,隻
臺中縣,雞,87,16690000,隻
臺中縣,雞,88,17480611,隻
臺中縣,雞,89,18541267,隻
臺中縣,雞,90,17810716,隻
臺中縣,雞,91,17800566,隻
臺中縣,雞,92,15246349,隻
臺中縣,雞,93,16509429,隻
臺中縣,雞,94,12820417.91,隻
臺中縣,雞,95,15002665,隻
臺中縣,雞,96,13328643,隻
臺中縣,雞,97,13920057,隻
臺中縣,雞,98,15075204,隻
臺中縣,雞,99,13972888,隻
臺中縣,鴨,85,2099000,隻
臺中縣,鴨,86,1665000,隻
臺中縣,鴨,87,1396000,隻
臺中縣,鴨,88,1418269,隻
臺中縣,鴨,89,1202680,隻
臺中縣,鴨,90,953897,隻
臺中縣,鴨,91,909657,隻
臺中縣,鴨,92,863244,隻
臺中縣,鴨,93,684543,隻
臺中縣,鴨,94,569664.82,隻
臺中縣,鴨,95,456815,隻
臺中縣,鴨,96,468931,隻
臺中縣,鴨,97,342823,隻
臺中縣,鴨,98,358895,隻
臺中縣,鴨,99,338690,隻
臺中縣,鵝,85,189000,隻
臺中縣,鵝,86,188000,隻
臺中縣,鵝,87,195000,隻
臺中縣,鵝,88,210151,隻
臺中縣,鵝,89,203981,隻
臺中縣,鵝,90,188092,隻
臺中縣,鵝,91,189587,隻
臺中縣,鵝,92,175614,隻
臺中縣,鵝,93,167694,隻
臺中縣,鵝,94,127711.39,隻
臺中縣,鵝,95,144749,隻
臺中縣,鵝,96,140806,隻
臺中縣,鵝,97,104434,隻
臺中縣,鵝,98,102240,隻
臺中縣,鵝,99,82953,隻
臺中縣,火雞,85,37000,隻
臺中縣,火雞,86,24000,隻
臺中縣,火雞,87,27000,隻
臺中縣,火雞,88,28465,隻
臺中縣,火雞,89,34234,隻
臺中縣,火雞,90,28596,隻
臺中縣,火雞,91,23065,隻
臺中縣,火雞,92,20061,隻
臺中縣,火雞,93,15790,隻
臺中縣,火雞,94,17976,隻
臺中縣,火雞,95,9236,隻
臺中縣,火雞,96,10832,隻
臺中縣,火雞,97,3843,隻
臺中縣,火雞,98,4470,隻
臺中縣,火雞,99,5146,隻
彰化縣,雞,85,43722000,隻
彰化縣,雞,86,52485000,隻
彰化縣,雞,87,52467000,隻
彰化縣,雞,88,51505526,隻
彰化縣,雞,89,55704991,隻
彰化縣,雞,90,55289197,隻
彰化縣,雞,91,52480070,隻
彰化縣,雞,92,52618607,隻
彰化縣,雞,93,56945369,隻
彰化縣,雞,94,45057506.27,隻
彰化縣,雞,95,53681422,隻
彰化縣,雞,96,48997146,隻
彰化縣,雞,97,46123300,隻
彰化縣,雞,98,50242784,隻
彰化縣,雞,99,51366916,隻
彰化縣,雞,100,53649032,隻
彰化縣,雞,101,52199896,隻
彰化縣,雞,102,53594650,隻
彰化縣,雞,103,56638934,隻
彰化縣,鴨,85,4575000,隻
彰化縣,鴨,86,5735000,隻
彰化縣,鴨,87,5419000,隻
彰化縣,鴨,88,4624933,隻
彰化縣,鴨,89,5421709,隻
彰化縣,鴨,90,5566245,隻
彰化縣,鴨,91,4067859,隻
